"id","name","year"
"451","Evolution","2001"
"452","The Exorcist","1973"
"453","Eyes Wide Shut","1999"
"454","Face/Off","2007"
"455","The Faculty","1998"
"456","The Fallen Idol","1948"
"457","Falling Down","1993"
"458","Family plot","1976"
"459","Far And Away","1992"
"460","Far From The Madding Crowd ","1967"
"461","The Fast and the Furious","2001"
"462","Fast Times at Ridgemont High","1982"
"463","Ferris Bueller’s Day Off","1986"
"464","Field of Dreams","1989"
"465","Fight Club","1999"
"466","The Fighter","2010"
"467","Final Analysis","1992"
"468","Finding Neverland","2004"
"469","First Knight","1995"
"470","A FISH CALLED WANDA","1988"
"471","The Fisher King","1991"
"473","Flashdance","1983"
"474","Flatliners","1990"
"475","Fletch","1985"
"476","The Flintstones","1994"
"477","The Fog","1979"
"478","Footloose ","1984"
"479","For Your Eyes Only","1981"
"480","Foreign Correspondent","1940"
"481","Forever Young","1992"
"482","Forgetting Sarah Marshall","2008"
"483","Forrest Gump","1994"
"486","The French Connection","1971"
"487","The French Lieutenant's Woman","1982"
"488","Frenzy","1972"
"489","Friday The 13th","1980"
"490","The Friends Of Eddie Coyle ","1973"
"491","Friends With Benefits","2011"
"492","From Dusk Till Dawn","1996"
"493","From Russia With Love","1963"
"494","The Full Monty","1997"
"495","Funny Face","1957"
"496","Galaxy Quest","2000"
"497","Gallipoli","1981"
"498","The Game","1997"
"499","Gandhi","1982"
"500","Gangster No.1","2000"
"501","Il Giardino Dei Finzi-Contini (The Garden Of The Finzi-Continis)","1970"
"502","Garden State","2004"
"504","The Leopard (Il Gattopardo)","1963"
"505","Genevieve","1953"
"506","Germinal","1993"
"507","Get Carter","1971"
"508","Get Shorty","1995"
"509","The Getaway","1972"
"510","Ghost","1990"
"511","The Ghost and Mrs Muir","1947"
"512","Ghostbusters","1984"
"513","Ghostbusters 2","1989"
"514","Giant","1956"
"515","Gigi","1958"
"516","The Girl Next Door","2004"
"517","Gladiator","2000"
"518","The Glenn Miller Story","1954"
"519","Glory","1989"
"521","The Go-Between","1971"
"522","the godfather","1972"
"523","The Godfather Part 2","1974"
"524","The Godfather Part 3","1990"
"525","Goldeneye","1995"
"526","Goldfinger","1964"
"527","Gone baby gone","2007"
"528","Gone In 60 seconds ","1974"
"529","Gone In 60 seconds ","2000"
"530","Gone To Earth","1950"
"531","Gone With the Wind","1939"
"532","Good Will Hunting","1997"
"533","Goodfellas","1990"
"534","The Goonies","1985"
"535","The Graduate","1967"
"536","Gran Torino","2008"
"537","The Grand Budapest Hotel","2014"
"538","La Grande Illusion","1937"
"539","The Grapes Of Wrath","1940"
"540","Grease","1978"
"541","The Great Gatsby","1974"
"542","The Green Hornet","2011"
"543","Green Lantern","2011"
"544","The Green Mile","1999"
"545","Green Street","2005"
"546","Green Zone","2010"
"547","Gremlins 2: The New Batch","1990"
"548","Greystoke, the Legend of Tarzan, Lord of the Apes","1984"
"549","GROUNDHOG DAY","1993"
"550","Guess Who","2005"
"551","Guess Who’s Coming To Dinner?","1967"
"552","Ride The High Country (Guns In The Afternoon)","1962"
"553","I Am Number Four","2011"
"554","I Am SAM","2007"
"555","I Confess","1953"
"556","I Know What You Did Last Summer","1997"
"557","I love you, man ","2009"
"558","I Love You To Death","1990"
"559","I Want To Live!","1958"
"560","The Ides Of March","2011"
"561","If.... ","1968"
"562","The Imaginarium Of Dr Parnassus ","2009"
"563","In And Out","1996"
"564","In Bruges","2008"
"565","In The Line Of Fire","1993"
"566","Inception","2010"
"567","Indiana Jones and the Kingdom of the Crystal Skull","2008"
"568","Indiana Jones and the Last Crusade","1989"
"569","Indiana Jones and the Temple Of Doom","1984"
"570","Inglourious Basterds","2009"
"571","The Innocents","1961"
"572","Inside Llewyn Davis","2013"
"573","Interview with the Vampire: The Vampire Chronicles","1994"
"574","Intolerance","1916"
"575","The Ipcress File","1965"
"576","Iron Man","2008"
"577","Iron Man 2","2010"
"578","Iron Man 3","2013"
"579","The Italian Job","1969"
"580","The Italian Job","2003"
"581","IT’S A WONDERFUL LIFE","1946"
"582","Jack Reacher","2012"
"583","Jack Ryan: Shadow Recruit","2014"
"584","jackie brown","1997"
"585","JAMÓN, JAMÓN","1992"
"586","Jane EYRE","2011"
"587","Jaws","1975"
"588","Johnny Mnemonic","1995"
"589","Jumanji","1995"
"590","Jungle Fever","1991"
"591","Jurassic Park","1993"
"592","The Lost World: Jurassic Park","1997"
"593","Kalifornia","1993"
"594","The Karate Kid","1984"
"595","The Karate Kid","2010"
"596","Kentucky Fried Movie","1977"
"597","Kes","1968"
"598","Kick-Ass","2010"
"599","Kill Bill: Vol. 1","2003"
"600","Kill Bill: Vol. 2","2004"
"601","Kill Me Again","1989"
"602","Killer Klowns from Outer Space","1988"
"603","The Killing of Sister George","1968"
"604","Kind Hearts and Coronets","1949"
"605","Kindergarten Cop","1990"
"606","king kong","1933"
"607","king Kong","2005"
"608","King of the Khyber Rifles","1953"
"609","The King’s speech","2011"
"610","A Kiss Before Dying","1991"
"611","Klute","1971"
"612","The Knack... And How To Get It","1965"
"613","Knight and Day","2010"
"614","Knocked Up","2007"
"615","Konga","1961"
"616","The Krays","1990"
"617","L.A. Confidential","1997"
"618","L.A. Story","1991"
"619","The L-Shaped Room","1962"
"620","Pan’s Labyrinth (El Laberinto Del Fauno)","2006"
"621","Lacombe, Lucien","1974"
"622","The Lady From Shanghai","1947"
"623","The Lady Vanishes","1938"
"624","The Lady Vanishes","1979"
"625","The LAdykillers","1955"
"626","Lara Croft: Tomb Raider","2001"
"627","Last Action Hero","1993"
"628","The Last Days of Sodom and Gomorrah","1962"
"629","The Last Emperor","1987"
"630","The Last Of The Mohicans","1992"
"631","Last orders","2001"
"632","The Last Samurai","2003"
"633","Last Tango in Paris","1972"
"634","The last temptation Of Christ","1988"
"635","The Lavender Hill Mob","1951"
"636","Lawrence of Arabia","1962"
"637","Layer Cake","2004"
"638","The League Of Extraordinary Gentlemen","2003"
"639","A League Of Their Own","1992"
"640","The Leather Boys","1964"
"641","Legally Blonde","2001"
"642","The Legend Of Hell House","1963"
"643","Leon – The Professional","1994"
"644","Lethal Weapon","1987"
"645","LETTERS TO JULIET","2010"
"646","Liar Liar","1997"
"647","Licence To Kill  ","1989"
"648","The Life and Times of Judge Roy Bean","1972"
"649","La Vita E Bella (Life Is Beautiful)","1997"
"650","LINCOLN","2012"
"651","Live And Let Die","1973"
"652","The Living Daylights ","1987"
"653","The Living Dead At Manchester Morgu","The Living Dead At Manchester Morgue"
"654","Lock, Stock and Two Smoking Barrels","1998"
"655","Run Lola Run (Lola Rennt)","1999"
"656","The Lonely Passion of Judith Hearne","1987"
"657","The Long Good Friday","1980"
"658","Dead Again","1991"
"659","Looking For Eric","2009"
"660","Looper","2012"
"661","Lord of the Rings: The Fellowship of the Ring","2001"
"662","Lord of the Rings: The Two Towers","2002"
"663","Lord of the Rings: The Return of the King","2003"
"664","Killer Klowns from Outer Space","1988"
"665","Lost Highway","1997"
"666","Lost In Translation","2003"
"667","The Lost Weekend","1945"
"668","Love Actually","2003"
"669","Love Story","1970"
"670","M","1931"
"671","MA NUIT CHEZ MAUD","1969"
"672","MAcbeth","1971"
"673","McCabe & Mrs Miller","1971"
"674","MacKenna’s Gold","1969"
"675","Mad Max","1979"
"676","Mad Max 2: The road warrior","1981"
"677","Mad Max Beyond thunderdome","1985"
"678","The Madness of King George","1994"
"679","Magnolia","2000"
"680","Malcolm X","1992"
"681","Mamma Mia!","2008"
"682","A Man For All Seasons","1966"
"683","Man Of Steel","2013"
"684","THE MAN WHO FELL TO EARTH ","1976"
"685","The Man Who Knew Too Much","1934"
"686","The Man Who Knew Too Much","1956"
"687","The Man With the Golden Gun","1974"
"688","The Man Without a Face","1993"
"689","Manhattan","1979"
"690","Manhattan Murder mystery","1993"
"691","Manhunter","1986"
"692","Marathon Man","1976"
"693","Marnie","1964"
