"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0443680","The Assassination of Jesse James by the Coward Robert Ford","2007","fm1953","The Assassination of Jesse James by the Coward Robert Ford","100"
"tt0056197","The Longest Day","1962","fm2105","The Longest Day","100"
"tt0468569","The Dark Knight","2008","fm1996","The Dark Knight","100"
"tt1345836","The Dark Knight Rises","2012","fm1997","The Dark Knight Rises","100"
"tt1010048","Slumdog Millionaire","2008","fm1820","Slumdog Millionaire","100"
"tt0361862","The Machinist","2004","fm2110","The Machinist","100"
"tt0407887","The Departed","2006","fm2001","the departed","100"
"tt0112579","The Bridges of Madison County","1995","fm1978","The Bridges of Madison County","100"
"tt0080678","The Elephant Man","1980","fm2011","the elephant man","100"
"tt0387131","The Constant Gardener","2005","fm1987","The Constant Gardener","100"
"tt0054331","Spartacus","1960","fm1850","Spartacus","100"
"tt0109506","The Crow","1994","fm1993","the crow","100"
"tt0068646","The Godfather","1972","fm2036","The Godfather","100"
"tt0032551","The Grapes of Wrath","1940","fm2047","The Grapes of Wrath","100"
"tt0032553","The Great Dictator","1940","fm2048","The Great Dictator","100"
"tt0057115","The Great Escape","1963","fm2049","The Great Escape","100"
"tt0120689","The Green Mile","1999","fm2054","The Green Mile","100"
"tt0108037","The Sandlot","1993","fm2176","The Sandlot","100"
"tt0091064","The Fly","1986","fm2020","the fly","100"
"tt0936501","Taken","2008","fm1914","Taken","100"
"tt1285016","The Social Network","2010","fm2192","The Social Network","100"
"tt0029843","The Adventures of Robin Hood","1938","fm1946","The Adventures of Robin Hood","100"
"tt1655442","The Artist","2011","fm1952","The Artist","100"
"tt0857191","The Visitor","2007","fm2238","The Visitor","100"
"tt0080120","The Warriors","1979","fm2243","the warriors","100"
"tt0080120","The Warriors","1979","fm2244","The warriors","100"
"tt0274558","The Hours","2002","fm2068","The Hours","100"
"tt0080455","The Blues Brothers","1980","fm1965","The Blues Brothers","100"
"tt0887912","The Hurt Locker","2008","fm2071","The Hurt Locker","100"
"tt0258463","The Bourne Identity","2002","fm1971","The Bourne Identity","100"
"tt0443543","The Illusionist","2006","fm2072","The Illusionist","100"
"tt0440963","The Bourne Ultimatum","2007","fm1973","The Bourne Ultimatum","100"
"tt0120338","Titanic","1997","fm2279","Titanic","100"
"tt0095497","The Last Temptation of Christ","1988","fm2098","The Last Temptation of Christ","100"
"tt0181865","Traffic","2000","fm2297","Traffic","100"
"tt0139654","Training Day","2001","fm2298","Training Day","100"
"tt0482571","The Prestige","2006","fm2155","The Prestige","100"
"tt0093779","The Princess Bride","1987","fm2157","The Princess Bride","100"
"tt0070047","The Exorcist","1973","fm2013","The exorcist","100"
"tt0460791","The Fall","2006","fm2014","The Fall","100"
"tt0964517","The Fighter","2010","fm2016","The Fighter","100"
"tt0075005","The Omen","1976","fm2138","The Omen","100"
"tt0230600","The Others","2001","fm2140","The others","100"
"tt0111161","The Shawshank Redemption","1994","fm2187","The Shawshank redemption","100"
"tt0446755","The Painted Veil","2006","fm2144","The Painted Veil","100"
"tt0081505","The Shining","1980","fm2189","the shining","100"
"tt0102926","The Silence of the Lambs","1991","fm2191","The Silence of the Lambs","100"
"tt0070735","The Sting","1973","fm2202","the sting","100"
"tt0061722","The Graduate","1967","fm2046","The Graduate","100"
"tt0976051","The Reader","2008","fm2165","the reader","100"
"tt0041959","The Third Man","1949","fm2212","the third man","100"
"tt1454029","The Help","2011","fm2062","The Help","100"
"tt0114814","The Usual Suspects","1995","fm2235","The Usual Suspects","100"
"tt0140352","The Insider","1999","fm2078","the insider","100"
"tt1504320","The King's Speech","2010","fm2087","The King's Speech","100"
"tt0117951","Trainspotting","1996","fm2299","Trainspotting","100"
"tt1156398","Zombieland","2009","fm2457","Zombieland","100"
"tt0332280","The Notebook","2004","fm2132","The Notebook","100"
"tt0048728","To Catch a Thief","1955","fm2280","To catch a thief","100"
"tt0054047","The Magnificent Seven","1960","fm2112","The Magnificent Seven","100"
"tt0100802","Total Recall","1990","fm2292","total recall","100"
"tt1403865","True Grit","2010","fm2313","True Grit","100"
"tt0454921","The Pursuit of Happyness","2006","fm2163","The Pursuit of Happyness","100"
"tt0107943","The Remains of the Day","1993","fm2168","The Remains of the Day","100"
"tt0105695","Unforgiven","1992","fm2352","Unforgiven","100"
"tt0049730","The Searchers","1956","fm2183","The Searchers","100"
"tt0052357","Vertigo","1958","fm2371","vertigo","100"
"tt0059742","The Sound of Music","1965","fm2199","The sound of music","100"
"tt0120382","The Truman Show","1998","fm2223","The Truman Show","100"
"tt0094226","The Untouchables","1987","fm2234","The Untouchables","100"
"tt0441909","Volver","2006","fm2385","Volver","100"
"tt1125849","The Wrestler","2008","fm2259","the wrestler","100"
"tt0409459","Watchmen","2009","fm2403","Watchmen","100"
"tt0055614","West Side Story","1961","fm2410","west side story","100"
"tt0040897","The Treasure of the Sierra Madre","1948","fm2220","The Treasure of the Sierra Madre","100"
"tt0090329","Witness","1985","fm2433","witness","100"
"tt0477348","No Country for Old Men","2007","fm1453","No Country for Old Men","100"
"tt0060196","The Good, the Bad and the Ugly","1966","fm2044","The Good, the Bad and the Ugly","100"
"tt1174732","An Education","2009","fm151","An Education","100"
"tt0094721","Beetlejuice","1988","fm228","Beetlejuice","100"
"tt0093191","Wings of Desire","1987","fm2429","Wings of Desire","100"
