"name@sourceA","name@sourceB","year@sourceA","year@sourceB","id@sourceA","id@sourceB","Confidence"
"The English Patient","the English patient","1996","1996","tt0116209","446",
"Dawn of the Dead","Shaun Of The Dead","2004","2004","tt0363547","906",
"Shaun of the Dead","Shaun Of The Dead","2004","2004","tt0365748","906",
"Star Wars: Episode III - Revenge of the Sith","Star Wars Episode III: Revenge Of The Sith","2005","2005","tt0121766","958",
"Paths of Glory","Paths of Glory","1957","1957","tt0050825","753",
"Escape from Alcatraz","Escape From Alcatraz","1979","1979","tt0079116","447",
"The Shawshank Redemption","The Shawshank Redemption","1994","1994","tt0111161","907",
"The Devil's Advocate","The Devil???s Advocate","1997","1997","tt0118971","396",
"X-Men","X-Men","2000","2000","tt0120903","1119",
"Vertigo","Vertigo","1958","1958","tt0052357","1069",
"The Name of the Rose","The Name of the rose","1986","1986","tt0091605","703",
"Boogie Nights","Boogie Nights","1997","1997","tt0118749","244",
"Raising Arizona","Raising Arizona","1987","1987","tt0093822","806",
"American Psycho","American Psycho","2000","2000","tt0144084","94",
"Sabrina","Sabrina","1954","1954","tt0047437","856",
"Stardust","Stardust","2007","2007","tt0486655","960",
"Garden State","Garden State","2004","2004","tt0333766","502",
"Crash","CraSH","2004","2004","tt0375679","347",
"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels","1998","1998","tt0120735","654",
"X2","X2","2003","2003","tt0290334","1120",
"Sherlock Holmes","Sherlock Holmes","2009","2009","tt0988045","909",
"Eternal Sunshine of the Spotless Mind","Eternal sunshine of the spotless mind","2004","2004","tt0338013","449",
"American Splendor","American Splendor","2003","2003","tt0305206","95",
"Ben-Hur","Ben Hur","1959","1959","tt0052618","196",
"The Shining","The Shining","1980","1980","tt0081505","910",
"Crazy, Stupid, Love.","Crazy, Stupid, Love","2011","2011","tt1570728","348",
"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert","1994","1994","tt0109045","41",
"An American Werewolf in London","An American Werewolf in London","1981","1981","tt0082010","96",
"Back to the Future","back to the future","1985","1985","tt0088763","146",
"King Kong","king kong","1933","1933","tt0024216","606",
"Back to the Future Part II","back to the future part ii","1989","1989","tt0096874","147",
"X-Men: First Class","X-Men: First class","2011","2011","tt1270798","1123",
"To Catch a Thief","To Catch A Thief","1955","1955","tt0048728","1018",
"The Godfather: Part II","The Godfather Part 2","1974","1974","tt0071562","350",
"The Exorcist","The Exorcist","1973","1973","tt0070047","452",
"The Adventures of Robin Hood","the adventures of robin hood","1938","1938","tt0029843","43",
"Die Hard","Die Hard","1988","1988","tt0095016","401",
"The Bourne Identity","The Bourne Identity","2002","2002","tt0258463","249",
"The Bourne Supremacy","The Bourne Supremacy","2004","2004","tt0372183","250",
"Back to the Future Part II","Back to the Future Part III","1989","1989","tt0096874","148",
"The Sting","The Sting","1973","1973","tt0070735","964",
"To Kill a Mockingbird","To Kill A Mockingbird","1962","1962","tt0056592","1019",
"The Perks of Being a Wallflower","The Perks Of Being A Wallflower","2012","2012","tt1659337","759",
"Shutter Island","Shutter Island","2010","2010","tt1130884","913",
"Crouching Tiger, Hidden Dragon","Crouching tiger, Hidden dragon","2000","2000","tt0190332","351",
"Beverly Hills Cop","Beverly Hills Cop","1984","1984","tt0086960","199",
"Die Hard: With a Vengeance","Die Hard with a Vengeance","1995","1995","tt0112864","402",
"The Bourne Ultimatum","The Bourne Ultimatum","2007","2007","tt0440963","251",
"Casablanca","Casablanca","1942","1942","tt0034583","301",
"After Hours","After Hours","1985","1985","tt0088680","46",
"Rear Window","Rear Window","1954","1954","tt0047396","812",
"Catch Me If You Can","Catch Me If You Can","2002","2002","tt0264464","303",
"Looper","Looper","2012","2012","tt1276104","660",
"Sideways","Sideways","2004","2004","tt0375063","915",
"The Crying Game","The Crying Game","1992","1992","tt0104036","353",
"The Dirty Dozen","The Dirty Dozen","1967","1967","tt0061578","404",
"Rebecca","Rebecca","1940","1940","tt0032976","813",
"Straw Dogs","Straw Dogs","1971","1971","tt0067800","967",
"The Lord of the Rings: The Fellowship of the Ring","Lord of the Rings: The Fellowship of the Ring","2001","2001","tt0120737","661",
"The Silence of the Lambs","The Silence Of The Lambs","1991","1991","tt0102926","916",
"Night of the Living Dead","Night of the Living Dead","1968","1968","tt0063350","712",
"Philadelphia","Philadelphia","1993","1993","tt0107818","763",
"Rebel Without a Cause","Rebel Without A Cause","1955","1955","tt0048545","814",
"The Lord of the Rings: The Two Towers","Lord of the Rings: The Two Towers","2002","2002","tt0167261","662",
"The Sixth Sense","The Sixth Sense","1999","1999","tt0167404","917",
"Falling Down","Falling Down","1993","1993","tt0106856","457",
"Dirty Pretty Things","Dirty Pretty Things","2002","2002","tt0301199","406",
"Boys Don't Cry","Boys Don???t Cry","1999","1999","tt0171804","254",
"The Lord of the Rings: The Return of the King","Lord of the Rings: The Return of the King","2003","2003","tt0167260","663",
"Ghostbusters","Ghostbusters","1984","1984","tt0087332","512",
"Sleepers","Sleepers","1996","1996","tt0117665","919",
"A Nightmare on Elm Street","A Nightmare on Elm Street","1984","1984","tt0087800","714",
